ID,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
604399,f,22/10/90,87.8,cbse,2009,84,cbse,6920,1,B.Tech/B.E.,instrumentation and control engineering,73.82,6920,1,Delhi,2013,650,665,810,0.694479328,485,366,-1,-1,-1,-1,-1,-0.159,0.3789,1.2396,0.1459,0.2889,445000
988334,m,15/05/90,57,cbse,2010,64.5,cbse,6624,2,B.Tech/B.E.,computer science & engineering,65,6624,0,Uttar Pradesh,2014,440,435,210,0.3423149,365,-1,-1,-1,-1,-1,-1,1.1336,0.0459,1.2396,0.5262,-0.2859,110000
301647,m,21/08/89,77.33,"maharashtra state board,pune",2007,85.17,amravati divisional board,9084,2,B.Tech/B.E.,electronics & telecommunications,61.94,9084,0,Maharashtra,2011,485,475,505,0.824666401,-1,400,-1,-1,-1,260,-1,0.51,-0.1232,1.5428,-0.2902,-0.2875,255000
582313,m,04/05/91,84.3,cbse,2009,86,cbse,8195,1,B.Tech/B.E.,computer science & engineering,80.4,8195,1,Delhi,2013,675,620,635,0.990008757,655,-1,-1,-1,-1,-1,-1,-0.4463,0.2124,0.3174,0.2727,0.4805,420000
339001,f,30/10/90,82,cbse,2008,75,cbse,4889,2,B.Tech/B.E.,biotechnology,64.3,4889,1,Tamil Nadu,2012,575,495,365,0.278457409,315,-1,-1,-1,-1,-1,-1,-1.4992,-0.7473,-1.0697,0.06223,0.1864,200000
609356,f,02/12/89,83.16,icse,2007,77,cbse,10950,1,M.Tech./M.E.,instrumentation and control engineering,99.93,10950,0,Punjab,2013,535,595,620,0.376059587,455,300,-1,-1,-1,313,-1,0.8463,-0.6201,-0.7585,-0.995,-0.2859,440000
1081649,f,17/04/89,72.5,state board,2007,53.2,state board,14381,2,B.Tech/B.E.,mechanical engineering,68,14381,1,West Bengal,2013,510,495,405,0.8295846,-1,-1,-1,469,-1,-1,-1,0.1282,-0.4536,0.3174,0.9066,-0.0943,150000
610842,f,11/04/91,77,state board,2009,88,state board,13208,2,B.Tech/B.E.,computer science & engineering,71,13208,1,Telangana,2013,370,470,280,0.704090412,465,-1,-1,-1,-1,-1,-1,0.1282,0.5454,0.4711,0.9066,-0.2859,105000
1183070,m,25/11/92,76.8,state board,2010,87.7,state board,5338,2,B.Tech/B.E.,information technology,73.15,5338,0,Andhra Pradesh,2014,510,555,440,0.744758354,525,-1,438,-1,-1,-1,-1,-0.159,-0.4536,0.1637,0.5262,-0.0943,195000
794062,f,15/03/93,57,state board,2009,73,state board,8346,2,B.Tech/B.E.,computer science & engineering,70.08,8346,0,Uttar Pradesh,2014,500,410,560,0.622642916,385,-1,407,-1,-1,-1,-1,-0.7335,-0.4536,-0.2974,1.4136,0.6721,200000
1088206,m,21/06/90,77,state board,2008,75,state board,13424,2,B.Tech/B.E.,electronics & telecommunications,62,13424,0,Maharashtra,2013,675,630,485,0.20739217,405,260,-1,-1,-1,-1,-1,1.7081,0.5454,0.9322,-0.4879,0.8637,335000
1279958,m,02/07/92,81.2,state board,2008,79.9,state board,64,2,B.Tech/B.E.,instrumentation and control engineering,67.67,64,0,Uttar Pradesh,2013,395,565,645,-1,495,-1,376,-1,-1,-1,-1,0.7027,0.7119,0.01,-0.995,0.6721,300000
471413,f,24/12/91,85,delhi board,2009,88,all india board,57,2,B.Tech/B.E.,information technology,85,57,0,Haryana,2013,495,445,605,0.765673581,485,-1,-1,-1,-1,-1,-1,-1.9629,-2.1903,-2.775,0.4148,-0.4455,480000
1088423,f,09/08/92,90,state board,2009,82.1,state board,2998,2,B.Tech/B.E.,computer science & engineering,85,2998,0,Telangana,2014,640,530,705,0.486747008,615,-1,376,-1,-1,-1,-1,0.99,0.7119,-0.1437,-1.1218,0.8637,550000
1066680,m,12/09/91,86.4,cbse,2009,86.2,cbse,1906,2,B.Tech/B.E.,electronics and communication engineering,81.4,1906,1,West Bengal,2014,720,630,750,0.338786347,485,292,-1,-1,-1,228,-1,1.2772,1.0449,0.7785,-1.2486,0.6721,325000
407672,m,30/09/90,84.13,0,2008,77,0,3801,2,B.Tech/B.E.,information technology,75.2,3801,0,Karnataka,2012,385,515,465,0.525922584,415,-1,-1,-1,-1,-1,-1,0.1623,0.9688,1.1074,0.4442,-0.1295,405000
205633,m,25/05/88,81.7,hse,2005,75.8,chse,5508,2,B.Tech/B.E.,computer engineering,78.7,5508,0,Orissa,2011,475,245,485,0.735795709,475,-1,-1,-1,-1,-1,-1,-1.3447,-1.3713,-0.4891,0.1798,1.2923,500000
924541,f,25/02/92,86,cbse,2010,89,cbse,429,2,B.Tech/B.E.,computer science & engineering,73.9,429,0,Uttar Pradesh,2014,520,570,620,0.953899775,425,-1,530,-1,-1,-1,-1,1.2772,0.0459,0.6248,-1.3753,0.6721,210000
512353,m,25/10/91,66.15,state board,2009,54,state board,3603,2,B.Tech/B.E.,computer science & engineering,66,3603,0,Maharashtra,2013,360,495,280,0.793580615,495,-1,-1,-1,-1,-1,-1,-0.1855,-0.1232,-0.4891,-1.2303,-1.3934,400000
1136577,m,22/05/91,79.29,icse,2009,68.67,cbse,5298,2,B.Tech/B.E.,computer science & engineering,76,5298,0,Tamil Nadu,2013,545,505,595,0.356536488,555,-1,346,-1,-1,-1,-1,0.2718,0.7119,0.3174,-0.1076,1.4386,360000
781327,m,21/11/87,60,state board,2006,50,state board,11013,2,B.Tech/B.E.,computer science & engineering,69.94,11013,0,Orissa,2013,240,340,430,0.143256541,295,-1,-1,-1,-1,-1,-1,-1.8825,-2.2851,-0.2974,-0.2344,-0.6692,240000
764522,f,14/01/92,58.4,cbse,2008,64.8,cbse,85,2,MCA,computer application,80,85,0,Haryana,2014,440,415,554,0.793580615,495,-1,-1,-1,-1,-1,-1,0.335,0.0924,-0.6582,-0.4821,-0.1543,120000
203323,m,03/11/86,61,0,2003,59,0,3716,2,B.Tech/B.E.,information technology,63,3716,1,Karnataka,2011,355,565,495,0.930370607,565,-1,-1,-1,-1,-1,-1,-0.881,0.6568,0.672,1.4724,0.3444,430000
267354,m,05/08/88,50,board of school education harayana,2008,64,state board of technical education harayana,7564,2,B.Tech/B.E.,electronics and communication engineering,70,7564,0,Haryana,2011,345,365,445,0.538386893,-1,333,-1,-1,-1,-1,-1,-0.4173,-1.3713,0.9042,1.5578,0.3444,120000
839626,f,10/04/91,67.06,state board,2008,70.67,state board,13271,2,B.Tech/B.E.,computer engineering,55.5,13271,1,Maharashtra,2012,440,440,385,0.144789889,435,-1,284,-1,-1,-1,-1,1.1336,-0.2871,-0.1437,0.1459,0.2889,120000
1169332,f,09/03/90,67,cbse,2008,61,cbse,16664,2,B.Tech/B.E.,computer science & engineering,75,16664,0,Chhattisgarh,2012,370,410,320,0.488347977,405,-1,-1,-1,-1,-1,-1,-0.159,-0.2871,-0.9122,-0.6147,-0.6692,120000
669692,m,04/05/92,73,state board,2009,71,state board,9699,2,B.Tech/B.E.,information technology,61,9699,1,Rajasthan,2013,180,365,310,0.074546265,255,433,-1,313,-1,-1,322,-2.0262,-1.9521,-2.6028,0.0192,-2.5853,600000
48029,m,20/12/88,86.17,rbse,2006,78.6,cbse,2857,1,B.Tech/B.E.,computer engineering,73.34,2857,1,Rajasthan,2010,505,495,695,0.987207086,645,-1,-1,-1,-1,-1,-1,-1.4992,0.5008,0.2366,0.6498,0.6603,500000
1268344,m,10/03/90,78,icse,2009,75,cbse,7765,2,B.Tech/B.E.,mechanical engineering,73,7765,0,Uttar Pradesh,2014,630,555,570,0.066960707,-1,-1,-1,253,-1,-1,-1,1.7081,-0.1206,0.01,-1.7556,0.2889,240000
1274612,m,17/09/89,71.8,cbse,2007,68.2,cbse,267,2,B.Tech/B.E.,electronics and communication engineering,76.5,267,0,Punjab,2012,615,590,585,-1,485,-1,-1,-1,-1,-1,-1,-0.159,-0.7866,-0.7585,0.1459,-2.0105,200000
230553,m,01/05/92,66.66,u p board,2005,80.4,u p board,64,2,B.Tech/B.E.,information technology,64.29,64,0,Uttar Pradesh,2011,525,505,575,0.901489571,545,-1,-1,-1,-1,-1,-1,0.0464,0.3448,-0.344,-0.1727,-0.1295,80000
1259836,m,26/02/92,85,state board,2009,81,state board,1906,2,B.Tech/B.E.,computer science & engineering,76.7,1906,1,West Bengal,2013,455,530,440,0.622642916,455,-1,407,-1,-1,-1,-1,1.7081,0.8784,1.7007,0.1459,0.8637,330000
634352,f,04/04/90,83.6,cbse,2008,74,cbse,55,2,B.Tech/B.E.,information technology,71,55,0,Uttar Pradesh,2013,615,595,720,0.987207086,645,-1,-1,-1,-1,-1,-1,-0.7335,0.0459,0.6248,-0.6147,0.2889,450000
977034,m,18/06/90,61.69,state board,2008,60.66,state board,285,1,MCA,computer application,77.5,285,0,Punjab,2014,440,605,520,0.356536488,575,-1,346,-1,-1,-1,-1,0.5591,0.3789,0.6248,0.3995,-1.0524,240000
668869,m,01/09/91,85,cbse,2009,82,cbse,6566,2,B.Tech/B.E.,electronics and communication engineering,81,6566,1,Karnataka,2013,730,525,690,0.694479328,465,366,-1,-1,-1,393,-1,0.99,0.2124,0.6248,0.2727,-1.0524,325000
915600,m,26/06/91,80.13,state board,2008,69.17,state board,5696,2,B.Tech/B.E.,computer science and technology,60.34,5696,0,Maharashtra,2012,590,440,385,0.996744487,475,-1,623,-1,-1,-1,-1,-0.5899,-0.6201,0.4711,-0.3612,-0.2859,215000
628753,m,22/12/91,82.5,cbse,2009,85,state board,11352,2,B.Tech/B.E.,information technology,75,11352,1,Tamil Nadu,2013,545,485,530,0.600057182,435,-1,-1,-1,-1,-1,-1,0.1282,-1.9521,-0.6048,0.653,0.6721,315000
1036215,m,03/05/92,63.5,state board,2010,65.72,state board,5081,2,B.Tech/B.E.,computer science & engineering,60,5081,0,Andhra Pradesh,2014,430,460,320,0.23780284,355,-1,315,-1,-1,-1,-1,0.5591,1.0449,0.3174,-0.2344,0.6721,220000
955352,m,08/12/91,64,cbse,2010,62,cbse,17244,2,B.Tech/B.E.,computer science & engineering,75,17244,0,Uttar Pradesh,2014,345,470,365,0.356536488,435,-1,346,-1,-1,-1,-1,-0.3027,-0.4536,-2.4491,1.0333,-0.2859,180000
449417,m,01/01/88,76,"bse, odisha",2005,61,chse,2088,2,MCA,computer application,85,2088,0,Orissa,2012,464,475,575,0.960903087,595,-1,-1,-1,-1,-1,-1,-1.4992,-1.3713,-0.6343,0.1798,-1.1169,240000
1038837,m,21/09/90,73,cbse,2008,76,cbse,10930,2,B.Tech/B.E.,information technology,74,10930,1,West Bengal,2013,465,570,415,0.356536488,575,-1,346,-1,-1,-1,-1,-1.5953,-0.1206,0.3174,0.2727,-1.4356,60000
309954,m,08/12/91,91,rajasthan board of secondary education,2008,83,rajasthan board of secondary education,5050,2,B.Tech/B.E.,computer engineering,71,5050,0,Rajasthan,2012,475,495,565,0.930370607,565,-1,-1,-1,-1,-1,-1,1.1283,0.6568,-0.344,-0.7603,-0.4455,165000
54289,m,27/09/86,65,cbse,2007,47.6,cbse,1753,2,MCA,computer application,63,1753,0,Karnataka,2013,415,365,475,0.600057182,435,-1,-1,-1,-1,-1,-1,0.2009,-0.7473,0.3817,0.5323,0.3444,180000
615097,m,14/11/91,70.16,state board,2007,66.8,state board,272,2,MCA,computer application,69.7,272,0,Punjab,2014,275,485,530,0.486747008,475,-1,376,-1,-1,-1,-1,-0.4463,-1.1196,0.01,0.5262,-0.0943,150000
96613,m,07/10/88,74.6,cbse,2005,80.8,cbse,67,2,B.Tech/B.E.,electronics and communication engineering,72.45,67,0,Uttar Pradesh,2010,535,415,635,0.960603252,-1,466,-1,-1,-1,-1,-1,0.8192,0.3448,1.1074,-0.1727,1.4502,370000
542950,m,21/08/91,66.5,state board,2008,66.4,state board,172,2,B.Tech/B.E.,electrical engineering,66,172,0,Uttar Pradesh,2013,500,560,560,0.376059587,-1,300,-1,-1,-1,-1,-1,-0.5719,0.8351,0.2477,-0.6428,-0.4455,145000
781196,m,09/02/91,78.4,cbse,2009,58.4,cbse,11013,2,B.Tech/B.E.,automobile/automotive engineering,76.5,11013,0,Orissa,2013,545,535,605,0.986525019,-1,-1,-1,580,-1,-1,-1,-0.3027,1.5444,0.3174,1.5404,0.8637,100000
38441,m,19/11/84,62,up board,2002,62,up board,395,2,MCA,computer application,72.02,395,0,Uttar Pradesh,2010,505,445,575,0.864685413,525,-1,-1,-1,-1,-1,-1,0.0464,0.2668,-1.7954,-0.6428,-1.2354,300000
1269557,m,30/07/90,52.93,state board,2008,64,state board,4793,2,B.Tech/B.E.,information technology,73,4793,0,Maharashtra,2014,325,375,370,0.911395278,495,-1,500,-1,-1,-1,-1,0.2718,-0.1206,0.3174,-1.8824,-0.4776,240000
512864,m,10/09/90,82,council for indian school certificate examination,2008,81,council for indian school certificate examination,77,2,B.Tech/B.E.,electronics and electrical engineering,64,77,0,Uttar Pradesh,2012,625,585,530,0.376059587,-1,300,-1,-1,-1,-1,-1,0.7419,0.8128,-1.6502,-0.8778,-0.2875,500000
390353,m,14/04/90,78,kea,2008,69,kea,3717,2,B.Tech/B.E.,electronics and communication engineering,75,3717,1,Karnataka,2012,355,485,425,0.0587928,325,200,-1,-1,-1,-1,-1,-0.2628,-0.5913,-0.1988,1.2374,-0.169,300000
1230200,m,12/07/90,65,state board,2008,65.4,state board,1887,1,B.Tech/B.E.,computer science & engineering,67.72,1887,0,Uttar Pradesh,2014,490,615,725,0.744758354,595,-1,438,-1,-1,-1,-1,-0.3027,-0.7866,-1.527,1.9207,-1.6273,300000
206976,m,02/03/90,70.2,0,2007,68.4,0,49,1,B.Tech/B.E.,electronics and electrical engineering,60.4,49,0,Uttar Pradesh,2011,544,415,504,0.0587928,335,200,-1,-1,-1,-1,-1,-0.5719,-0.2793,0.672,-0.6428,-0.2875,510000
908780,f,14/10/93,93,state board,2010,89,state board,8895,2,B.Tech/B.E.,information technology,83,8895,0,Tamil Nadu,2014,345,495,325,0.622642916,445,-1,407,-1,-1,-1,-1,-0.7335,0.0459,-0.1437,1.0333,-0.8608,150000
982729,m,24/02/93,53.4,cbse,2010,66,cbse,387,2,B.Tech/B.E.,information technology,60.62,387,0,Uttar Pradesh,2014,300,520,330,0.744758354,335,-1,438,-1,-1,-1,-1,-0.3027,0.2124,1.0859,1.1601,-0.4776,240000
385303,m,02/07/90,84.2,0,2008,78.6,0,100,2,B.Tech/B.E.,electronics and communication engineering,64.45,100,0,Haryana,2012,525,605,595,0.376059587,-1,300,-1,-1,-1,-1,-1,-2.272,0.2668,-0.9245,1.0024,0.6603,145000
355322,m,03/06/91,71.5,uttar pradesh,2007,60,cbse,81,2,B.Tech/B.E.,computer science & engineering,68.74,81,0,Uttar Pradesh,2012,415,355,455,0.24545566,335,-1,-1,-1,-1,-1,-1,0.51,1.1248,-0.7794,-0.2609,-0.6035,240000
730991,m,07/10/90,81.5,state board,2009,80.2,state board,11160,2,B.Tech/B.E.,computer science & engineering,82,11160,1,West Bengal,2013,430,510,415,0.3423149,365,-1,-1,-1,-1,-1,-1,0.7027,-1.1196,-0.1437,0.3995,0.2889,310000
326762,m,26/07/91,63,cbse,2008,66,cbse,3879,2,B.Tech/B.E.,computer engineering,65.55,3879,0,Madhya Pradesh,2012,435,465,465,0.704090412,465,-1,-1,-1,-1,-1,-1,-3.6631,-2.1513,0.0914,1.32553,-1.2354,450000
125654,m,20/05/87,74,"board of secondary education,andhara pradesh",2004,86.1,"board of intermediate education,hyderabad",3694,2,MCA,computer application,76,3694,0,Andhra Pradesh,2010,405,385,585,0.635978756,445,-1,-1,-1,-1,-1,-1,-1.8083,-0.5913,-0.9245,-0.0552,0.3444,380000
984121,f,20/03/92,91.6,state board,2010,86.5,state board,2952,2,B.Tech/B.E.,electronics and communication engineering,80.2,2952,1,Karnataka,2014,465,510,570,0.783303537,445,388,-1,-1,-1,484,-1,-0.159,1.2114,0.4711,-1.6289,0.0973,300000
744799,m,01/06/92,87.5,state board,2009,89.9,state board,13899,2,B.Tech/B.E.,computer engineering,73.21,13899,0,Andhra Pradesh,2013,500,415,485,0.704090412,465,-1,-1,-1,-1,-1,-1,0.1282,0.8784,0.6248,-0.3612,-0.6692,300000
1048133,m,22/07/92,78.5,state board,2009,83,state board,16171,2,B.Tech/B.E.,electronics and communication engineering,77.72,16171,0,Telangana,2013,350,470,405,0.20739217,355,260,-1,-1,-1,-1,-1,1.7081,0.7119,0.6248,-1.3753,0.6721,200000
1094787,m,09/02/92,79.5,state board,2009,63.2,state board,7814,2,B.Tech/B.E.,electronics and communication engineering,63.3,7814,0,Orissa,2014,615,425,440,0.493596387,405,324,-1,-1,-1,452,-1,-0.3027,1.0449,1.3933,0.1459,0.8637,170000
661812,f,23/09/91,71,wbbse,2009,68,wbchse,13040,2,B.Tech/B.E.,computer science & engineering,81.4,13040,1,West Bengal,2013,345,570,220,0.843123727,515,-1,-1,-1,-1,-1,-1,0.2718,0.3789,0.6248,-1.3753,-0.6692,95000
818701,m,15/12/89,66,state board,2006,61,state board,9508,2,B.Tech/B.E.,computer science & engineering,72.04,9508,0,Uttar Pradesh,2012,640,500,545,0.953899775,464,-1,530,-1,-1,-1,-1,0.5591,1.0449,-0.1437,-0.6147,-0.8608,335000
1063653,m,14/11/91,74,cbse,2009,63,cbse,14278,2,B.Tech/B.E.,computer science & engineering,72,14278,0,Haryana,2013,490,530,370,0.04099931,405,-1,223,-1,-1,-1,-1,-1.5953,0.5454,-0.7585,0.5262,-0.6692,110000
189121,m,04/03/90,91,matriculation board,2007,90.91,hisher seconadry examination(state board),4042,2,B.Tech/B.E.,electronics and communication engineering,83.2,4042,0,Tamil Nadu,2011,565,515,575,0.229481755,325,266,-1,-1,-1,-1,-1,0.6646,1.1248,1.5428,-0.4078,0.3444,450000
640037,f,22/06/91,89.44,state board,2009,75.33,state board,4569,2,B.Tech/B.E.,computer science & engineering,68.69,4569,0,Karnataka,2013,500,425,385,0.704090412,465,-1,-1,-1,-1,-1,-1,0.8463,0.0459,1.7007,-0.4879,0.0973,200000
906284,m,26/07/93,76,cbse,2010,64,cbse,10971,2,B.Tech/B.E.,computer science & engineering,67,10971,0,Uttar Pradesh,2014,555,450,470,0.486747008,465,-1,376,-1,-1,-1,-1,-1.1644,1.2114,0.4711,-0.1076,-0.6692,310000
330544,m,25/02/91,77,state board,2008,75,state board,9837,2,B.Tech/B.E.,mechanical engineering,65.42,9837,1,Telangana,2012,425,415,375,0.068445751,-1,-1,-1,254,-1,-1,-1,1.4374,1.1248,1.2525,0.53233,0.4234,200000
643957,m,22/12/90,63,cbse,2009,74,cbse,462,2,B.Tech/B.E.,information science engineering,57,462,1,Karnataka,2013,545,500,455,0.600057182,435,-1,-1,-1,-1,-1,-1,-1.4517,-2.1186,-0.6048,0.9066,-1.6273,240000
